customer_id,customer_name
dc3dd10b-91ed-4453-89bb-9f624c441030,Nisha Verma
d8946376-be1f-48cc-a278-f8b3b967cd77,Riya Kumar
83fae1e1-7a78-42d4-81fd-803ebdeedb2d,Manya Desai
24405b2f-c105-4f3f-9aaf-8bc07f4cae9f,Avni Saxena
3869d8bc-f40c-4f5e-a283-6137c3c35e49,Vivaan Agarwal
980f7c2f-153a-47cf-8597-003573939f9b,Harsh Agarwal
29e1adfa-15e1-4685-bdda-77a76b1b5f67,Arjun Malhotra
b4b4b06b-f5f3-40fa-81a6-2d0a89855381,Aditi Sharma
32992fb7-2b62-4f94-bb9b-8a9d8d82db8f,Vikram Mehta
5145b2a8-b34f-4e20-9e03-27b4793df5f9,Riya Bhatia
4d023c48-23e3-4783-8fa2-318cb3d43c0d,Karan Joshi
ab037001-ee92-4756-a5d0-86e775b34910,Simran Joshi
65423bfc-af9a-4324-b3bb-d7fe6eee7abf,Raj Reddy
8ce818f3-74d3-485a-a880-31f78a209152,Meera Tiwari
42274652-cd72-4dda-b350-134f64209e99,Pooja Kumar
4d67ee67-fd72-4aa2-a37c-b0ee14feaf41,Riya Verma
5462782c-ddd2-429b-b75c-72dfc38b48ae,Aditi Malhotra
e448c5be-744b-45bf-ac97-6ebc9394f9eb,Vivaan Khanna
86ce0e19-5eac-4ba5-8c90-c033c7fd056b,Sneha Kumar
f2509c99-029f-4da2-9fa7-dfe8709e1735,Siddharth Kapoor
2d9977a7-73a4-4fcf-9258-870ce8c57eef,Akash Sharma
2ad9e481-4da0-46d6-b091-5a31d47b79b4,Nisha Tiwari
5d86e682-2c99-4fb2-b207-9ac1999b3b39,Vikram Sharma
28f5f699-63d7-4067-9aa7-6c8bb56a8d54,Akash Nair
88fd1f10-d022-487f-aa2b-a4fe54f7191a,Meera Saxena
6e1dcf88-fcb3-446d-ad88-a80f5d16b100,Harsh Verma
0b380004-e297-4530-b9cc-7ec7c2671aa4,Meera Mishra
a13d9a3f-15aa-4226-82e6-1be95617ce11,Diya Mehta
6abcdf3a-b28d-48e3-98b5-47b735656d7f,Vikram Tiwari
3ceffc2d-ca21-4728-8fe2-d7330800545d,Aditi Desai
081cb3b7-07a5-47e3-ba40-3c584667498f,Priya Shah
fa6caa51-aa5b-4c06-9822-665356e76ed1,Sakshi Tiwari
b58ae460-63a9-43d4-9be9-23b023a9a55e,Nisha Saxena
d8d7fd2a-b7e3-4fe0-9c87-f6ff030f3fab,Harsh Jain
68901c7d-2c1a-4c17-b4c4-74a381a4ebcf,Avni Khanna
af645e35-b45e-4ad8-bffd-0e2dea2496f9,Vikram Iyer
036ebc85-d632-4697-b4b9-0ce40c8aa151,Isha Jain
209d490c-f2de-42fb-be19-ff81de15c5a0,Kavya Desai
33526715-6f38-4560-9cec-2faddb2e18cc,Aditya Patel
9a495dba-bde9-44c3-8145-d541ff7f00bb,Yash Verma
05d0c6aa-51af-4bef-aa13-51671ef3543b,Aditya Singh
aa4cce8c-52c5-4028-a9a2-4e3d09c37945,Aman Mishra
8777c81c-9bd2-4286-82e5-80d64b3dea49,Aditi Saxena
8688cdb5-ddea-4a28-a01e-4c72e0a6db18,Karan Malhotra
3a674f7e-a660-4890-ad70-cc6d6243b37f,Akash Sinha
9f313a5e-4364-4389-9ae3-aaa68d7b7fd4,Nisha Mishra
711d1a09-2c23-47cd-906d-36f21485d178,Ishaan Khanna
851911fa-e90d-4143-8a2d-36c114606f7e,Ishaan Sharma
d63d760e-8e35-45a7-8e5e-726780fc90ca,Sneha Sinha
7d4858da-05d8-4db2-9cda-aaef3401ed6f,Rohan Chopra
91e8018a-5410-4b8e-b774-79d502f10661,Yash Patel
edab3b94-d559-471e-8a4f-baa4a82d2b87,Pallavi Tiwari
727c36de-0126-4272-a349-dea3796e6cae,Aarav Reddy
8f4ea588-5a4f-40e3-ab56-9b3c57fb7ec1,Karan Mishra
4e18786a-167a-4f53-85ba-c0094471ec40,Raj Mishra
ed154512-8b23-4841-802b-eddf6d91f2b0,Isha Mishra
e8a94fa8-9c7b-476a-ab27-e9d182725071,Neha Sinha
b0455f06-0c02-4714-a3ee-5782057e5744,Aditi Chopra
93adcbdc-9aca-4199-8e33-069a28ec60f1,Rahul Jain
380e294c-c3de-4ef3-9a40-e62c64dc6aa6,Isha Kapoor
395503e2-4d23-4a3a-b2e0-b5d8e9edc396,Isha Singh
83ac61c4-dfde-4fb8-bffa-a1bbb101fb65,Nikhil Khanna
0e56cf30-2186-4f7e-a521-3a6174330fe4,Priya Chopra
ee421b5d-31c7-4e3d-a8d9-7a2e629e29c0,Manish Kapoor
943c8292-23af-41a9-8171-c597e5e75c00,Vikram Mishra
53c325c4-52bb-4bf0-a60d-dd5d46e2d00c,Manya Mehta
d6fa4b58-8f07-4e49-991f-7056829ab034,Siddharth Joshi
523a570c-b77a-4fdf-88b6-f5f914b4d929,Aarav Sinha
0da17aa7-5e8b-4ffd-9fee-e0fff0135025,Rahul Gupta
398e41d9-1069-47f7-8d13-244b8077c658,Aarav Verma
89296cf4-3444-4f2c-b9e2-3d587d41846d,Vivaan Chopra
81c6a055-492a-4430-959a-2b110fa6820b,Nikhil Tiwari
5c422707-d31d-48da-abd4-995d13d5504d,Harsh Reddy
f989d4cf-c8ed-4f7c-a59c-dcf26773f1f7,Ankit Saxena
e8702b31-08a2-4085-ab36-5c6459b0bbe0,Riya Singh
4762e5c1-5423-4a10-84bb-b5f0e06d84c9,Manya Jain
2c715b26-1a54-4b39-9074-e692e269a7a6,Kavya Chopra
d8553b54-782a-402e-ba3e-79c4ed789d76,Manya Sinha
e4cb057c-aa62-4c5b-94ae-7025e17d7cc5,Arjun Verma
e6ceed96-b539-471c-933b-5c9acd7fcd7c,Avni Kapoor
53b63cc7-b45b-44c9-83c4-85eaf8d2efe1,Nisha Nair
8ad5bee5-7c74-475a-837f-cace96dd7ce7,Riya Agarwal
d08b8625-8735-41b3-a5b9-ec8d38586394,Karan Gupta
ba20febc-5f02-45ba-9ec9-d04e07e77ffa,Tanya Nair
d0d5f9fe-7956-4ef1-b891-7c4a09a344dc,Rahul Sharma
bf0cbf48-35df-47b8-bb1b-180b4e2d7b19,Aditi Tiwari
9ad16f05-ddee-429b-befb-e7bb770b57b5,Avni Joshi
89ec2520-8577-4f60-95ed-7d8fdcb2ed47,Nikhil Reddy
66f9b9a3-9cb7-4a42-a5da-d2f1d02ba65c,Ananya Chopra
a2df4517-6bd6-462a-9833-5662008bba5f,Aarav Khanna
5fa5d764-7a07-4cfa-9e59-056f58fbfb2c,Pooja Iyer
6d63c25a-2eb9-4b7a-a6f6-120cba15e047,Rahul Malhotra
d6b5ecd9-c1ac-4c69-a886-e547416cdea4,Raj Khanna
0c260fe3-5e7d-4e48-917a-8da0087f5ac4,Ananya Patel
6e9136e4-8059-46dd-b4bf-c19715804c75,Vivaan Joshi
e44e9374-bb60-403c-a215-729f20c30185,Sakshi Patel
c71bd27c-f360-4a2d-98ae-8b6c03635a17,Manish Bhatia
0b003667-bc67-46b1-bc02-2ba9ddd1346a,Meera Kumar
adbcdc30-7514-4486-919f-617e1549ea39,Nikhil Bhatia
3c6b8b90-e83e-4f6d-95f2-faff1d9dc837,Tanya Bhatia
139b360a-7725-4a4d-a229-eab80be8d4fa,Neha Reddy
17bdf970-f6e1-4e55-b21e-1bf00743809c,Nikhil Kumar
88b9d5fb-84ba-4a6a-b6a4-fcb2847902d7,Sakshi Mishra
bb8b5eef-dc0d-480d-8836-70af23349963,Sakshi Iyer
14fc0cad-0cd2-4f8e-9a1a-f77df333e580,Meera Singh
9b7c4c38-9658-4f45-ab30-683eb7d6df70,Pallavi Joshi
